point1,point2,distance
7330,7226,19.854376434591323
7330,324,19.732874822375024
7330,113,16.69294860997748
7330,115,16.391617701664295
7330,147,15.604489200572214
7330,185,15.639417174527276
7330,7457,14.056982774876763
7330,273,13.363259047873388
7330,408,12.13897062818822
7330,410,11.432498433142412
7330,412,10.573092512174522
7330,414,10.152473582214107
7330,416,9.464532963442513
7330,418,8.715720583819362
7330,420,7.886375610585281
7330,424,6.240224226524796
7330,426,5.229716801375613
7330,428,4.325301506404573
7330,6334,3.309070114530587
7330,3116,1.6211410442725327
7330,6085,0.9714559036251605
7330,422,7.086100942024787
